term,E,P,A
massage_therapist,1.76,0.42,-0.42
materials_engineers,1.13,1.25,1
mathematical_engineering_technician,1.23,1.21,-0.05
mathematician,1.63,0.83,-0.6
mayor_of_a_large_city,1.15,2.7,1.57
meat_grader,0.65,0.72,0.98
mechanic,1.4,1.74,1.93
mechanical_engineer,1.84,1.75,1.51
mechanical_trouble_shooter,0.85,1.28,1.25
mechanics_helper,1.2,0.2,1.7
medical_assistants,2.16,0.72,0.94
medical_record_librarian_in_a_hospital,1.52,0.19,-0.56
medical_technician,2.17,1.39,1.16
medical_transcriber,1.53,0.38,-0.08
member_of_city_council,0.55,1.46,0.19
merchant_seaman,0.94,0.96,1.64
metal_caster_in_a_foundry,0.94,1.02,1.84
metal_plater,0.83,0.8,1.48
metal_stamping_machine_operator,1.17,0.88,1.8
meteorologist,1.91,1.09,0.5
meter_maid,0.48,0.42,0.41
meter_reader_for_a_gas_or_electric_company,1.18,0.12,-0.01
middle_school_teacher,2.17,0.79,0.96
midwife,1.84,1.32,0.62
migrant_worker,1.03,-0.74,0.98
milling_machine_operator,1.09,0.95,1.74
millwright,0.98,0.88,0.97
mining_engineer,1.28,1.68,1.44
missionary,1.84,0.7,-0.25
mobile_home_installer,1.27,0.94,1.61
molding_machine_operator,1.02,0.83,1.49
motion_picture_projectionist,1.39,0.66,0.04
museum_curator,1.73,0.7,-0.36
museum_security_chief,1.56,1.19,-0.04
musician,2.04,1.46,2.35
narcotics_investigator,1.09,2.07,1.14
natural_childbirth_and_infant_care_instructor,2.16,1.34,0.69
network_administrator,1.14,1.39,0.43
newspaper_proofreader,1.28,0.43,-0.56
nuclear_engineers,1.29,2.07,0.85
nuclear_technician,1.28,1.98,0.86
nurse_anesthetist,1.85,1.58,0.73
nurse_practitioner,2.17,1.49,0.98
nut_roaster,1.18,-0.35,0.25
nutritionist,1.92,0.81,-0.14
occupational_rehabilitation_aide,2.21,0.89,0.51
occupational_therapists,2.27,1.09,0.51
office_clerk,1.49,-0.24,-0.15
office_supervisor,0.84,1.66,0.43
oil_exploration_engineer,0.9,1.59,1.38
oil_refining_equipment_operator,0.97,1.41,1.84
oil_rig_worker,0.93,1.33,2.17
oil_well_driller,1.09,1.88,2.26
operations_analyst,1.1,0.87,0.07
operations_manager,1.3,1.57,1.28
optician,1.68,1.13,-0.47
optometrist,1.94,1.21,-0.29
order_expediter_for_a_wholesale_business,1.22,0.96,1.41
paid_campaign_staff_member,0.37,0.65,1.51
paint_tester_in_a_paint_manufacturing_plant,0.77,-0.13,-0.02
paperhanger,0.95,-0.05,0.01
paralegals,1.5,0.49,0.11
paramedic,2.86,2.35,2.62
parking_enforcement_officer,-0.04,1.25,0.73
parking_lot_attendant,0.67,-0.27,0.01
parole_officer,0.97,2,0.78
party_caterer,1.97,0.81,2
pattern_maker_in_a_metal_shop,1.11,0.99,1.44
payroll_clerk,0.9,0.28,-0.69
personal_financial_advisors,1.07,1.28,-0.12
pharmacist_technician,1.67,0.86,0.63
pharmacists,1.89,1.52,-0.09
pharmacy_aides,1.48,0.45,0.36
photocopying_machine_operator,1.16,-0.02,0.77
photograph_developer,1.47,0.26,-0.82
photographer,2.03,0.84,0.28
physical_therapists,2.23,1.45,0.95
physical_therapy_assistant,2.4,0.87,0.47
physician,2.4,2.51,1.15
physician_assistants,1.92,1.2,0.73
physicist,1.53,1.32,-0.17
piano_tuner,1.54,0.37,-0.14
pile_driver_operator,0.73,1.01,1.91
plasterer,0.99,0.18,1
plastic_mold_maker,1.26,0.37,0.9
plumber,1.4,1.04,1.03
podiatrist,1.2,0.66,-0.34
police_lieutenant,1.41,2.16,1.33
police_officer,1.54,2.35,1.87
policeman,1.17,2.55,1.96
policewoman,1.91,2.12,1.99
post_office_clerk,1.3,0.02,0.1
post_office_mail_sorter,1.18,-0.3,0.29
postmaster,1.7,1.11,0.58
power_plant_operator,1.08,1.84,1.87
preparer_of_clothing_patterns,1.42,0.24,-0.01
preschool_teachers,2.27,1.22,1.55
priest,1.37,1.44,-0.67
printing_press_operator,0.89,0.26,1.65
prison_guard,-0.3,1.82,0.83
private_detective,1.17,1.68,0.31
professional_athlete,1.51,2.5,2.82
professional_babysitter,2.16,0.81,0.97
professionally_trained_forester,1.55,1.32,1.33
professionally_trained_health_therapist,2.23,1.52,0.58
professor,1.74,1.78,0.03
property_manager,0.48,1.64,0.46
prosthetic_aide,1.77,0.75,0
psychologist,1.85,1.6,-0.8
public_health_analyst,1.19,1.17,0.12
public_health_educator_in_a_clinic,1.43,1.19,0.58
public_opinion_pollster,0.64,0.54,0.6
public_relations_manager,1.27,1.44,0.88
public_relations_specialist,1.24,1.31,0.96
public_safety_director,1.45,1.4,0.45
pump_house_engineer,1.22,0.97,1.1
pumping_station_operator,0.85,0.29,1.04
purchasing_clerk,1.26,0.29,0.06
purchasing_manager_for_a_business,1.18,1.35,0.45
quality_checker_in_a_manufacturing_plant,1.2,1.32,0.85
quality_control_engineer,1.42,1.37,0.64
rabbi,2.03,1.53,-0.87
radiation_therapists,1.98,1.19,0.16
radio_operator,1.45,0.78,1.21
radio_tester,1.01,0.1,0.23
rail_track_repairer,1.02,1.24,1.89
railroad_conductor,1.66,1.75,1.42
railroad_detective,0.89,1.2,0.62
railroad_signal_mechanic,1.53,1.53,1.56
railroad_signal_tower_operator,1.53,1.54,1.26
railroad_switchman,1.57,1.39,1.41
real_estate_agent,1.34,1.08,0.8
real_estate_appraiser,0.91,1,-0.19
rebar_reinforcing_iron_bar_worker,0.98,1.2,1.66
receptionist,1.75,0.05,0.38
recreation_attendant_supervisor,1.63,1.11,1.2
refrigerating_machine_operator,1.31,0.92,1.42
regional_manager_for_a_bus_company,1.29,1.81,0.73
regional_sales_manager,0.76,1.52,0.85
registered_nurse,2.67,1.85,1.91
religious_education_director,1.12,0.88,0.12
reporter,0.7,1.59,1.64
respiratory_therapists,2.01,1.21,-0.05
restaurant_general_manager,1.62,1.9,1.62
restaurant_host,1.94,0.17,1.18
restaurant_hostess,2.03,-0.06,1.62
retail_salesperson,1.04,-0.32,0.99
rolling_mill_operator_in_a_metal_shop,0.8,0.93,1.91
roof_bolter_in_mine,0.7,1,1.56
roofer,1.3,1.02,2.11
rubber_stamp_maker,1.06,-0.2,0.26
sailor,1.28,0.86,1.11
sailor_in_navy,1.72,1.32,1.84
salad_maker_in_a_hotel_kitchen,1.42,-0.31,0.91
sales_engineer,1.14,0.84,0.98
salesperson,0.96,0.35,1.36
sandfill_operator_in_a_mine,0.67,0.78,1.44
saw_sharpener,1.12,1.01,1.79
school_counselor,1.75,1.13,0.05
school_crossing_guard,2.01,0.75,0.71
school_principal,1.38,2.27,0.77
secretary,2.01,-0.05,0.51
security_guard,1.42,1.28,0.04
semiconductor_assembler,1.13,1.04,1.17
senator,-0.2,2.35,0.4
septic_tank_cleaner,0.57,0.21,0.99
sergeant,0.69,2.35,2.18
service_station_manager,0.96,0.91,0.99
sewer,0,-0.12,0.6
sewing_machine_assembler,1.04,0,1.47
sewing_machine_operator,1.28,0,1.45
sheet_metal_duct_installer,0.8,0.49,1.54
shelf_stocker_in_a_grocery_store,1.17,-1.08,0.57
ship_fitter_apprentice,1.05,0.19,1.05
shipping_clerk,1.24,0.39,0.98
ships_captain,1.73,2.5,1.64
shoemaker,1.64,0.18,0.34
shoeshiner,1.47,-0.73,0.12
short_order_cook,0.84,-0.12,2.13
sign_painter,1.16,-0.07,0.21
singer,1.69,1.57,1.9
skilled_craftsman_in_a_metalworking_shop,1.61,1.54,2.01
social_scientist,1.54,0.82,0.07
social_security_administrator,0.78,1.63,0.07
social_worker,1.48,1.08,0.16
sociologist,1.46,0.92,-0.25
software_developers,1.6,1.15,-0.62
solar_panel_installer,1.55,1.15,0.98
soldier,1.8,2.18,2.32
